 1. http://www.automationsoftwarelab.ro/continut/uploads/2014/02/aslab-logo.png   (score=0.120)
 2. http://image3.slideserve.com/6985949/work-sessions-in-mcesc-computer-lab-n.jpg   (score=0.123)
 3. http://slideplayer.com/slide/3943576/13/images/69/Laboratory+11+Software+Preparation.jpg   (score=0.129)
 4. http://www.arcadewarfare.com/games/images/BMK__thumb_100x100.jpg   (score=0.132)
 5. https://polarion.plm.automation.siemens.com/hubfs/Images/Customers/logos/swql.jpg?t=1520327977933   (score=0.134)
 6. https://polarion.plm.automation.siemens.com/hubfs/Images/Customers/logos/swql.jpg?t=1535362330572   (score=0.134)
 7. https://mlpsbfynq3bq.i.optimole.com/BmInEw-Fg9uqaVc/w:2000/h:491/q:auto/https://buildinghealth.eu/wp-content/uploads/2018/08/Building-Health-Lab_Logo-2.png   (score=0.135)
 8. https://mlpsbfynq3bq.i.optimole.com/BmInE8w-Fg9uqaVc/w:2000/h:491/q:auto/https://buildinghealth.eu/wp-content/uploads/2018/08/Building-Health-Lab_Logo-2.png   (score=0.135)
 9. http://lh4.ggpht.com/BsV5hpeXMu6PG7-UXw1ydbE7HzfT2O4Xpt9q8YAkle9cIYom1VmK7OWvz4_imJywqyJHQ-n8uH1f6HNtFns3Xgo=h200   (score=0.135)
10. https://cdn3.vectorstock.com/i/thumb-large/70/07/kids-learning-science-in-a-lab-vector-21587007.jpg   (score=0.135)
11. https://cdn1.vectorstock.com/i/thumb-large/85/70/childrens-doing-experiment-in-the-lab-vector-21558570.jpg   (score=0.135)
12. https://cdn1.vectorstock.com/i/thumb-large/75/00/scientists-in-the-chemical-laboratory-vector-1977500.jpg   (score=0.135)
13. https://cdn.vectorstock.com/i/thumb-large/67/41/scientists-in-medical-science-laboratory-vector-15836741.jpg   (score=0.135)
14. https://cdn.vectorstock.com/i/thumb-large/13/80/chemical-laboratory-with-chemicals-in-test-tube-vector-11001380.jpg   (score=0.135)
15. https://cdn3.vectorstock.com/i/thumb-large/39/17/student-working-at-laboratory-class-vector-13823917.jpg   (score=0.135)
16. https://cdn2.vectorstock.com/i/thumb-large/42/96/pupils-in-chemistry-lab-vector-15644296.jpg   (score=0.135)
17. https://cdn.vectorstock.com/i/thumb-large/07/15/15250715.jpg   (score=0.135)
18. https://cdn4.vectorstock.com/i/1000x1000/10/18/chemistry-lab-equipment-vector-21451018.jpg   (score=0.135)
19. https://cdn.vectorstock.com/i/thumb-large/84/23/9838423.jpg   (score=0.135)
20. https://cdn.vectorstock.com/i/thumb-large/89/50/scientist-man-conducting-research-in-a-lab-vector-16038950.jpg   (score=0.135)
21. https://cdn5.vectorstock.com/i/thumb-large/60/04/female-student-working-at-laboratory-class-vector-10016004.jpg   (score=0.135)
